new,old
sys_error_logs,application_error_logs
sys_activity_logs,user_activity_logs
sys_security_alerts,security_alerts
sys_generated_reports,generated_reports
sys_api_logs,api_request_logs
core_organizations,organizations
core_super_admins,super_admins
core_subscription_history,subscription_history
core_users,users
core_refresh_tokens,refresh_tokens
core_user_fcm_tokens,user_fcm_tokens
org_departments,departments
org_designations,designations
org_work_locations,work_locations
org_user_work_locations,user_work_locations
org_shifts,shifts
org_holidays,holidays
attn_records,attendance_records
attn_daily_summary,daily_attendance
attn_correction_requests,attendance_correction_requests
attn_dar_requests,dar_requests
attn_dar_settings,dar_settings
attn_daily_activities,daily_activities
chat_conversations,conversations
chat_conversation_members,conversation_members
chat_messages,messages
chat_message_attachments,message_attachments
chat_message_mentions,message_mentions
chat_message_reactions,message_reactions
doc_custom_templates,custom_document_templates
doc_generated_hr_documents,generated_hr_documents
doc_required_templates,required_document_templates
doc_required_items,required_document_items
doc_employee_uploads,employee_uploaded_documents
onboard_checklist_templates,onboarding_checklist_templates
onboard_checklist_items,onboarding_checklist_items
onboard_checklist_progress,employee_checklist_progress
perf_cycles,performance_cycles
perf_employee_goals,employee_performance_goals
perf_employee_reviews,employee_performance_reviews
recruit_openings,recruitment_openings
recruit_candidates,recruitment_candidates
recruit_form_templates,recruitment_form_templates
recruit_pipeline_stages,recruitment_pipeline_stages
comm_events_meetings,events_meetings
comm_notifications,notifications
feedback_tickets,feedback
